Code;Description
996429;All Services Passenger transport services Other long-distance transportation services of passengers nowhere else classified
996431;All Services Passenger transport services Long-distance transport service of passengers through rail network by railways
996432;All Services Passenger transport services Scheduled long-distance transport services of passengers through road by bus and coach services including stage carriage, contract carriage and the like
996433;All Services Passenger transport services Non-scheduled long-distance transport services of passengers through road by bus and coach services including stage carriage, contract carriage and the like
996434;All Services Passenger transport services Long-distance transport service of passengers by any motor vehicle other than bus including motorcab, maxicab  and radio taxi
996439;All Services Passenger transport services Other long distance transport service of passengers by land nowhere else specified
996441;All Services Passenger transport services Coastal water transport service of passengers by ferries and the like
996442;All Services Passenger transport services Coastal  water transport service of passengers by cruise ships and the like
996443;All Services Passenger transport services Inland water transport service of passengers by ferries and the like
996444;All Services Passenger transport services Inland water transport service of passengers by cruise ships and the like
996445;All Services Passenger transport services International water transport services of passengers by ferries, cruise ships and the like
996449;All Services Passenger transport services Other long distance transport service of passengers by water nowhere else specified
996451;All Services Passenger transport services Domestic scheduled air transport service of passengers in economy class
996452;All Services Passenger transport services Domestic scheduled air transport service of passengers in other than economy class
996453;All Services Passenger transport services Domestic non-scheduled air transport service of passengers
996454;All Services Passenger transport services International scheduled air transport service of passengers in economy class
996455;All Services Passenger transport services International scheduled air transport service of passengers in other than economy class
996456;All Services Passenger transport services International non-scheduled air transport service of passengers
996459;All Services Passenger transport services Other long-distance transportation service of passengers by air nowhere else specified including space transport service of passengers
996511;All Services Goods Transport Services Road transport services of Goods including letters, parcels, live animals, household and office furniture, containers and the like by refrigerator vehicles, trucks, trailers, man or animal drawn vehicles or any other vehicles
996512;All Services Goods Transport Services Railway transport services of Goods including letters, parcels, live animals, household and office furniture, intermodal containers, bulk cargo and the like
996513;All Services Goods Transport Services Transport services of petroleum and natural gas, water, sewerage and other goods via pipeline
996514;All Services Goods Transport Services Transport services via pipeline of other chemicals, coal slurry and of other goods
996515;All Services Goods Transport Services Moving services of household goods, office equipment and furniture
996516;All Services Goods Transport Services Road transport services of goods including letters, parcels, live animals, containers and the like in referigerated vehicles, trucks, trailers or any other motor vehicle or in man or animal driven vehicles by any person other than a goods transport agency
996517;All Services Goods Transport Services Railway transport services of goods including letters, parcels, live animals, household and office furniture, intermodal containers, bulk cargo and the like by  Container Transport Operators (CTOs) other than Railways
996518;All Services Goods Transport Services Transport of goods by ropeways
996519;All Services Goods Transport Services Other land transport services of goods nowhere else classified
996521;All Services Goods Transport Services Coastal and transoceanic (overseas) water transport services of goods by refrigerator vessels, tankers, bulk cargo vessels, container ships and the like
996522;All Services Goods Transport Services Inland water transport services of goods by refrigerator vessels, tankers and other vessels
996523;All Services Goods Transport Services International water transport services of goods by refrigerated vessels,  tankers, bulk cargo vessels, container ships and the like
996531;All Services Goods Transport Services Air transport services of letters and parcels and other goods
996532;All Services Goods Transport Services Space transport services of freight
996540;All Services Goods Transport Services Multimodal Transport of goods from a place in India to another place in India
