Code;Description
998634;All Services Support services to agriculture, hunting, forestry, fishing, mining and utilities Support services to Distribution services of steam, hot water and air-conditioning supply
998635;All Services Support services to agriculture, hunting, forestry, fishing, mining and utilities Other support services to electricity , gas and water distribution
998711;All Services Maintenance, repair and installation (except construction) services Maintenance and repair services of fabricated metal products, except machinery and equipment
998712;All Services Maintenance, repair and installation (except construction) services Maintenance and repair services of office and accounting machinery
998713;All Services Maintenance, repair and installation (except construction) services Maintenance and repair services of computers and peripheral equipment
998714;All Services Maintenance, repair and installation (except construction) services Maintenance and repair services of transport machinery and equipment
998715;All Services Maintenance, repair and installation (except construction) services Maintenance and repair services of electrical household appliances
998716;All Services Maintenance, repair and installation (except construction) services Maintenance and repair services of telecommunication equipments and apparatus
998717;All Services Maintenance, repair and installation (except construction) services Maintenance and repair services of commercial and industrial machinery
998718;All Services Maintenance, repair and installation (except construction) services Maintenance and repair services of elevators and escalators
998719;All Services Maintenance, repair and installation (except construction) services Maintenance and repair services of other machinery and equipments
998721;All Services Maintenance, repair and installation (except construction) services Repair services of footwear and leather goods
998722;All Services Maintenance, repair and installation (except construction) services Repair services of watches, clocks and jewellery
998723;All Services Maintenance, repair and installation (except construction) services Repair services of garments and household textiles
998724;All Services Maintenance, repair and installation (except construction) services Repair services of furniture
998725;All Services Maintenance, repair and installation (except construction) services Repair services of bicycles
998726;All Services Maintenance, repair and installation (except construction) services Maintenance and repair services of musical instruments
998727;All Services Maintenance, repair and installation (except construction) services Repair services for photographic equipment and cameras
998729;All Services Maintenance, repair and installation (except construction) services Maintenance and repair services of other goods nowhere else classified
998731;All Services Maintenance, repair and installation (except construction) services Installation services of fabricated metal products, except machinery and equipment
998732;All Services Maintenance, repair and installation (except construction) services Installation services of industrial, manufacturing and service industry machinery and equipment
998733;All Services Maintenance, repair and installation (except construction) services Installation services of office and accounting machinery and computers
998734;All Services Maintenance, repair and installation (except construction) services Installation services of radio, television and communications equipment and apparatus
998735;All Services Maintenance, repair and installation (except construction) services Installation services of professional medical machinery and equipment, and precision and optical instruments
998736;All Services Maintenance, repair and installation (except construction) services Installation services of electrical machinery and apparatus nowhere else classified
998739;All Services Maintenance, repair and installation (except construction) services Installation services of other goods nowhere else classified
998811;All Services Manufacturing services on physical inputs (goods) owned by others Meat processing services
998812;All Services Manufacturing services on physical inputs (goods) owned by others Fish processing services
998813;All Services Manufacturing services on physical inputs (goods) owned by others Fruit and vegetables processing services
998814;All Services Manufacturing services on physical inputs (goods) owned by others Vegetable and animal oil and fat manufacturing services
998815;All Services Manufacturing services on physical inputs (goods) owned by others Dairy product manufacturing services
998816;All Services Manufacturing services on physical inputs (goods) owned by others Other food product manufacturing services
998817;All Services Manufacturing services on physical inputs (goods) owned by others Prepared animal feeds manufacturing services
998818;All Services Manufacturing services on physical inputs (goods) owned by others Beverage manufacturing services
998819;All Services Manufacturing services on physical inputs (goods) owned by others Tobacco manufacturing services nowhere else classified
998821;All Services Manufacturing services on physical inputs (goods) owned by others Textile manufacturing services
998822;All Services Manufacturing services on physical inputs (goods) owned by others Wearing apparel manufacturing services
998823;All Services Manufacturing services on physical inputs (goods) owned by others Leather and leather product manufacturing services
998829;All Services Manufacturing services on physical inputs (goods) owned by others Textile, wearing apparel and leather manufacturing services other than services by way of job work specified above.
998831;All Services Manufacturing services on physical inputs (goods) owned by others Wood and wood product manufacturing services
998832;All Services Manufacturing services on physical inputs (goods) owned by others Paper and paper product manufacturing services
998839;All Services Manufacturing services on physical inputs (goods) owned by others Wood and paper manufacturing services other than services by way of job work specified above
998841;All Services Manufacturing services on physical inputs (goods) owned by others Coke and refined petroleum product manufacturing services
998842;All Services Manufacturing services on physical inputs (goods) owned by others Chemical product manufacturing services
998843;All Services Manufacturing services on physical inputs (goods) owned by others Pharmaceutical product manufacturing services
998849;All Services Manufacturing services on physical inputs (goods) owned by others Petroleum, chemical and pharmaceutical products manufacturing services other than services by way of job work specified above 
998851;All Services Manufacturing services on physical inputs (goods) owned by others Rubber and plastic product manufacturing services
998852;All Services Manufacturing services on physical inputs (goods) owned by others Plastic product manufacturing services
998853;All Services Manufacturing services on physical inputs (goods) owned by others Other non-metallic mineral product manufacturing services
998859;All Services Manufacturing services on physical inputs (goods) owned by others Rubber, plastic and other non-metallic mineral product manufacturing services, other than services by way of job work specified above.
998860;All Services Manufacturing services on physical inputs (goods) owned by others Basic metal manufacturing services
998861;All Services Manufacturing services on physical inputs (goods) owned by others Services by way of job work in relation to basic metals
998869;All Services Manufacturing services on physical inputs (goods) owned by others Basic metal manufacturing services, other than services by way of job work specified above
998871;All Services Manufacturing services on physical inputs (goods) owned by others Structural metal product, tank, reservoir and steam generator manufacturing services
998872;All Services Manufacturing services on physical inputs (goods) owned by others Weapon and ammunition manufacturing services
998873;All Services Manufacturing services on physical inputs (goods) owned by others Other fabricated metal product manufacturing and metal treatment services
998874;All Services Manufacturing services on physical inputs (goods) owned by others Computer, electronic and optical product manufacturing services
998875;All Services Manufacturing services on physical inputs (goods) owned by others Electrical equipment manufacturing services
998876;All Services Manufacturing services on physical inputs (goods) owned by others General-purpose machinery manufacturing services nowhere else classified
998877;All Services Manufacturing services on physical inputs (goods) owned by others Special-purpose machinery manufacturing services
998879;All Services Manufacturing services on physical inputs (goods) owned by others Fabricated metal product, machinery and equipment manufacturing services, other than services by way of job work specified above
998881;All Services Manufacturing services on physical inputs (goods) owned by others Motor vehicle and trailer manufacturing services
998882;All Services Manufacturing services on physical inputs (goods) owned by others Other transport equipment manufacturing services
998883;All Services Manufacturing services on physical inputs (goods) owned by others Services  by way of job work in relation to bus body building
998889;All Services Manufacturing services on physical inputs (goods) owned by others Transport equipment manufacturing services, other than job work services specified above
998891;All Services Manufacturing services on physical inputs (goods) owned by others Furniture manufacturing services
998892;All Services Manufacturing services on physical inputs (goods) owned by others Jewellery manufacturing services
998893;All Services Manufacturing services on physical inputs (goods) owned by others Imitation jewellery manufacturing services
998894;All Services Manufacturing services on physical inputs (goods) owned by others Musical instrument manufacturing services
998895;All Services Manufacturing services on physical inputs (goods) owned by others Sports goods manufacturing services
998896;All Services Manufacturing services on physical inputs (goods) owned by others Game and toy manufacturing services
998897;All Services Manufacturing services on physical inputs (goods) owned by others Medical and dental instrument and supply manufacturing services
998898;All Services Manufacturing services on physical inputs (goods) owned by others Other manufacturing services nowhere else classified
998899;All Services Manufacturing services on physical inputs (goods) owned by others Other manufacturing services nowhere else classified
998911;"All Services Other manufacturing services; publishing, printing and reproduction services; materials recovery services Publishing, on a fee or contract basis"
998912;"All Services Other manufacturing services; publishing, printing and reproduction services; materials recovery services Printing and reproduction services of recorded media, on a fee or contract basis"
998920;"All Services Other manufacturing services; publishing, printing and reproduction services; materials recovery services Moulding, pressing, stamping, extruding and similar plastic manufacturing services"
998931;"All Services Other manufacturing services; publishing, printing and reproduction services; materials recovery services Iron and steel casting services"
998932;"All Services Other manufacturing services; publishing, printing and reproduction services; materials recovery services Non-ferrous metal casting services"
998933;"All Services Other manufacturing services; publishing, printing and reproduction services; materials recovery services Metal forging, pressing, stamping, roll forming and powder metallurgy services"
998941;"All Services Other manufacturing services; publishing, printing and reproduction services; materials recovery services Metal waste and scrap recovery (recycling) services, on a fee or contract basis"
998942;"All Services Other manufacturing services; publishing, printing and reproduction services; materials recovery services Non-metal waste and scrap recovery (recycling) services, on a fee or contract basis"
998950;"All Services Other manufacturing services; publishing, printing and reproduction services; materials recovery services Other manufacturing services, publishing, printing and reproduction services, materials recovery services nowhere else classified"
999111;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Overall Government public services"
999112;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Public administrative services related to the provision of educational, health care, cultural and other social services, excluding social security service"
999113;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Public administrative services related to the more efficient operation of business"
999119;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Other administrative services of the government nowhere else classified"
999121;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Public administrative services related to External Affairs, Diplomatic and Consular services abroad"
999122;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Services related to foreign economic aid"
999123;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Services related to foreign military aid"
999124;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Military defence services"
999125;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Civil defence services"
999126;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Police and fire protection services"
999127;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Public administrative services related to law courts"
999128;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Administrative services related to the detention or rehabilitation of criminals"
999129;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Public administrative services related to other public order and safety affairs nowhere else classified"
999131;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Administrative services related to sickness, maternity or temporary disablement benefit schemes"
999132;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Administrative services related to government employee pension schemes; old-age disability or survivors' benefit schemes, other than for government employees"
999133;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Administrative services related to unemployment compensation benefit schemes"
999134;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Administrative services related to family and child allowance programmes"
999139;"All Services Public administration and other services provided to the community as a whole; compulsory social security services Other administrative services related to compulsory social security schemes"
999210;All Services Education services Pre-primary education services
999220;All Services Education services Primary education services
999231;All Services Education services Secondary education services, general
999232;All Services Education services Secondary education services, technical and vocational
999241;All Services Education services Higher education services, general
999242;All Services Education services Higher education services, technical
999243;All Services Education services Higher education services, vocational
999249;All Services Education services Other higher education services
999250;All Services Education services Specialised education services
999259;All Services Education services Specialised education services 
999291;All Services Education services Cultural education services
999292;All Services Education services Sports and recreation education services
999293;All Services Education services Commercial training and coaching services
999294;All Services Education services Other education and training services nowhere else classified
999295;All Services Education services services involving conduct of examination for admission to educational institutions
999299;All Services Education services Other Educational support services
999311;All Services Human health and social care services Inpatient services
999312;All Services Human health and social care services Medical and dental services
999313;All Services Human health and social care services Childbirth and related services
999314;All Services Human health and social care services Nursing and physiotherapeutic services
999315;All Services Human health and social care services Ambulance services
999316;All Services Human health and social care services Medical laboratory and diagnostic-imaging services
999317;All Services Human health and social care services Blood, sperm and organ bank services
999318;All Services Human health and social care services Blood, sperm and organ bank services
999319;All Services Human health and social care services Other human health services including homeopathy, unani, ayurveda, naturopathy, acupuncture and the like
999321;All Services Human health and social care services Residential health-care services other than by hospitals
999322;All Services Human health and social care services Residential care services for the elderly and persons with disabilities
999331;All Services Human health and social care services Residential care services for children suffering from mental retardation, mental health illnesses or substance abuse
999332;All Services Human health and social care services Other social services with accommodation for children
999333;All Services Human health and social care services Residential care services for adults suffering from mental retardation, mental health illnesses or substance abuse
999334;All Services Human health and social care services Other social services with accommodation for adults
999341;All Services Human health and social care services Vocational rehabilitation services
999349;All Services Human health and social care services Other social services without accommodation for the elderly and disabled nowhere else classified
999351;All Services Human health and social care services Child day-care services
999352;All Services Human health and social care services Guidance and counseling services nowhere else classified related to children
999353;All Services Human health and social care services Welfare services without accommodation
999359;All Services Human health and social care services Other social services without accommodation nowhere else classified
999411;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Sewerage and sewage treatment services
999412;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Septic tank emptying and cleaning services
999413;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Septic tank emptying and cleaning services
999419;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Other sewerage, sewage treatment and septic tank cleaning services
999421;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Collection services of hazardous waste
999422;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Collection services of non-hazardous recyclable materials
999423;All Services Sewage and waste collection, treatment and disposal and other environmental protection services General waste collection services, residential
999424;All Services Sewage and waste collection, treatment and disposal and other environmental protection services General waste collection services, other nowhere else classified
999429;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Other sewage and waste collection services
999431;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Waste preparation, consolidation and storage services
999432;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Hazardous waste treatment and disposal services
999433;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Non-hazardous waste treatment and disposal services
999439;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Other waste treatment and disposal services 
999441;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Site remediation and clean-up services
999442;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Containment, control and monitoring services and other site remediation services
999443;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Building remediation services
999449;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Other remediation services nowhere else classified
999451;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Sweeping and snow removal services
999459;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Other sanitation services nowhere else classified
999490;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Other environmental protection services nowhere else classified
999491;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Services by way of treatment or disposal of biomedical waste or the processes incidental thereto by a common biomedical waste treatment facility to a clinical establishment.
999499;All Services Sewage and waste collection, treatment and disposal and other environmental protection services Other environmental protection services nowhere else classified
999511;All Services Services of membership organisations Services furnished by business and employers organisations
999512;All Services Services of membership organisations Services furnished by professional organisations
999520;All Services Services of membership organisations Services furnished by trade unions
999591;All Services Services of membership organisations Religious services
999592;All Services Services of membership organisations Services furnished by political organisations
999593;All Services Services of membership organisations Services furnished by human rights organisations
999594;All Services Services of membership organisations Cultural and recreational associations
999595;All Services Services of membership organisations Services furnished by environmental advocacy groups
999596;All Services Services of membership organisations Services provided by youth associations
999597;All Services Services of membership organisations Other civic and social organisations
999598;All Services Services of membership organisations Home owners associations
999599;All Services Services of membership organisations Services provided by other membership organisations nowhere else classified
999611;All Services Recreational, cultural and sporting services Sound recording services
999612;All Services Recreational, cultural and sporting services Motion picture, videotape, television and radio programme production services
999613;All Services Recreational, cultural and sporting services Audiovisual post-production services
999614;All Services Recreational, cultural and sporting services Motion picture, videotape and television programme distribution services
999615;All Services Recreational, cultural and sporting services Motion picture projection services
999616;All Services Recreational, cultural and sporting services Services by way of admission to exhibition of cinematograph films where price of admission ticket is one hundred rupees or less
999617;All Services Recreational, cultural and sporting services Services by way of admission to exhibition of cinematograph films where price of admission ticket is above one hundred rupees.
999621;All Services Recreational, cultural and sporting services Performing arts event promotion and organisation services
999622;All Services Recreational, cultural and sporting services Performing arts event production and presentation services
999623;All Services Recreational, cultural and sporting services Performing arts facility operation services
999624;All Services Recreational, cultural and sporting services Services by way of admission or access to circus, Indian classical dance including folk dance, theatrical performance, drama [or planetarium], ballet etc.
999629;All Services Recreational, cultural and sporting services Other performing arts and live entertainment services nowhere else classified
999631;All Services Recreational, cultural and sporting services Services of performing artists including actors, readers, musicians, singers, dancers, television personalities, independent models and the like
999632;All Services Recreational, cultural and sporting services Services of authors, composers, sculptors and other artists, except performing artists
999633;All Services Recreational, cultural and sporting services Original works of authors, composers and other artists except performing artists, painters and sculptors
999641;All Services Recreational, cultural and sporting services Museum and preservation services of historical sites and buildings
999642;All Services Recreational, cultural and sporting services Botanical, zoological and nature reserve services
999651;All Services Recreational, cultural and sporting services Sports and recreational sports event promotion and organisation services
999652;All Services Recreational, cultural and sporting services Sports and recreational sports facility operation services
999653;All Services Recreational, cultural and sporting services Services by way of admission to sporting events like Indian Premier League.
999659;All Services Recreational, cultural and sporting services Other sports and recreational sports services nowhere else classified
999661;All Services Recreational, cultural and sporting services Services of athletes
999662;All Services Recreational, cultural and sporting services Support services related to sports and recreation
999691;All Services Recreational, cultural and sporting services Amusement park and similar attraction services 
999692;All Services Recreational, cultural and sporting services Coin-operated amusement machine services
999693;All Services Recreational, cultural and sporting services Coin-operated amusement machine services
999694;All Services Recreational, cultural and sporting services Services by way of admission to casinos or race clubs or any place having casinos or race clubs 
999699;All Services Recreational, cultural and sporting services Other recreation and amusement services nowhere else classified
999711;All Services Other services Coin-operated laundry services
999712;All Services Other services Dry-cleaning services (including fur product cleaning services)
999713;All Services Other services Other textile cleaning services
999714;All Services Other services Pressing services
999715;All Services Other services Dyeing and colouring services
999719;All Services Other services Other washing, cleaning and dyeing services nowhere else classified
999721;All Services Other services Hairdressing and barbers services
999722;All Services Other services Cosmetic treatment (including cosmetic or plastic surgery), manicuring and pedicuring services
999723;All Services Other services Physical well-being services including health club and fitness centre
999729;All Services Other services Other beauty treatment services nowhere else classified
999731;All Services Other services Cemeteries and cremation services
999732;All Services Other services Undertaking services
999791;All Services Other services Services involving commercial use or exploitation of any event
999792;All Services Other services Agreeing to do an act
999793;All Services Other services Agreeing to refrain from doing an act
999794;All Services Other services Agreeing to tolerate an act
999795;All Services Other services Conduct of religious ceremonies or rituals by persons
999799;All Services Other services Other services nowhere else classified
999800;All Services Domestic services Domestic services both part time and full time
999900;All Services Services provided by extraterritorial organisations and bodies
996541;All Services Goods Transport Services Multimodal Transport of goods from a place in India to another place in India
