Legacy_Serial_number,Material_Type,Material,Material_Description,Legacy_Field_Value,Material_Group,Old_material_number,Unit_of_Weight,Material_Description_1,Volume_Unit,Denominator,Display_Unit_Measure,Numerator,Base_Unit_of_Measure,Denominator_1,Numerator_1,Denominator_2,Display_Unit_Measure_1,Numerator_2,Base_Unit_of_Measure_1,Denominator_3,Display_Unit_Measure_2,Numerator_3,Base_Unit_of_Measure_2,DOMESTIC_FLAG,NO_STOCK_CHECK_IND,Legacy_Company_Code,POTXT,Manufacturer_Part_No_,Valid_From,Loading_Group,Material_Group_3,Valuation_Class,ZZ1_MM_RP_PLT,Process_Flag,Storage_Location_Extend,Material_Group_4,Denominator_4,Display_Unit_Measure_3,Numerator_4,Denominator_5,Display_Unit_Measure_4,Numerator_5,Item_Plan_Type,Effective_Till_Date,Plant_type_Legacy,HSN
10_2026:07:01 16:27:13 564,ZOES,3B105M58QE1-CVF,"CONTROLLER ASSY,BODY ELEC (CHROME)",EA,LOC COMP,,G,"CONTROLLER ASSY,BODY ELEC (CHROME)",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,2,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
11_2026:07:01 16:27:13 565,ZOES,3B105M58QE1-CVF,"CONTROLLER ASSY,BODY ELEC (CHROME)",EA,LOC COMP,,G,"CONTROLLER ASSY,BODY ELEC (CHROME)",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,3,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
12_2026:07:01 16:27:13 566,ZOES,3B105M58QE1-CVF,"CONTROLLER ASSY,BODY ELEC (CHROME)",EA,LOC COMP,,G,"CONTROLLER ASSY,BODY ELEC (CHROME)",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,1,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
12_2026:07:02 10:53:17 596,ZOES,36091M69S11,"HARNESS SET,MAIN",NO,LOC COMP,,,"HARNESS SET,MAIN",,1,,1,,0,0,0,,0,,0,,0,,P,,2,,,9999-12-31,,,,36091M69S11,S,S,,0,,0,0,,0,2080.0,9999-12-31,,9999
13_2026:07:01 16:27:13 567,ZOES,33850M66T10,"CABLE, BATTERY",EA,LOC COMP,,G,"CABLE, BATTERY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,2,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
14_2026:07:01 16:27:13 569,ZOES,33850M66T10,"CABLE, BATTERY",EA,LOC COMP,,G,"CABLE, BATTERY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,3,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
15_2026:07:01 16:27:13 569,ZOES,33850M66T10,"CABLE, BATTERY",EA,LOC COMP,,G,"CABLE, BATTERY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,1,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
16_2026:07:01 16:27:13 571,ZOES,3B440M58Q02,"CONTROLLER ASSY,GATEWAY",EA,LOC COMP,,G,"CONTROLLER ASSY,GATEWAY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,2,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
17_2026:07:01 11:41:19 158,ZOES,3F100-69T12,"CONTROLLER ASSY,AEB RADAR",NO,IMP SMC,,,"CONTROLLER ASSY,AEB RADAR",,1,,1,,0,0,0,,0,,0,,0,,S,N,1,,,9999-12-31,,,,3F100-69T12,S,S,,0,,0,0,,0,2080.0,9999-12-31,,9999
17_2026:07:01 16:27:13 572,ZOES,3B440M58Q02,"CONTROLLER ASSY,GATEWAY",EA,LOC COMP,,G,"CONTROLLER ASSY,GATEWAY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,3,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
18_2026:07:01 16:27:13 572,ZOES,3B440M58Q02,"CONTROLLER ASSY,GATEWAY",EA,LOC COMP,,G,"CONTROLLER ASSY,GATEWAY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,1,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
19_2026:07:01 16:27:13 574,ZOES,3B440M58QA2,"CONTROLLER ASSY,GATEWAY",EA,LOC COMP,,G,"CONTROLLER ASSY,GATEWAY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,2,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
1_2026:07:01 10:49:20 699,ZOES,3E130-63V00-XT,CONTROLLER ASSY CVT,NO,LOC COMP,,,CONTROLLER ASSY CVT,,1,,1,,0,0,0,,0,,0,,0,,,,1,,,,,,,3E130-63V00-XT,S,S,,0,,0,0,,0,2080.0,9999-12-31,,9999
1_2026:07:01 16:09:19 325,ZOES,64220M80T01-008,"LID COMP,FUEL INLET",NO,ED SPARES,,,"LID COMP,FUEL INLET",,1,,1,,0,0,0,,0,,0,,0,,,,1,,,,,S,,64220M80T01-008,S,S,,0,,0,0,,0,2021.0,9999-12-31,,9999
1_2026:07:01 16:27:13 553,ZOES,3B105M58QB1-CVF,"CONTROLLER ASSY,BODY ELEC (CHROME)",EA,LOC COMP,,G,"CONTROLLER ASSY,BODY ELEC (CHROME)",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,N,2,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
1_2026:07:01 19:03:20 701,ZOES,95544M60Q20,"SENSOR,REFRIGERANT TEMP",NO,LOC COMP,,,"SENSOR,REFRIGERANT TEMP",,1,,1,,0,0,0,,0,,0,,0,,,,1,,,,,,,95544M60Q20,S,S,,0,,0,0,,0,2080.0,9999-12-31,,9999
1_2026:07:01 19:07:13 006,ZOES,95431M60Q00,"VALVE,EXPANSION(A/C)",NO,LOC COMP,,,"VALVE,EXPANSION(A/C)",,1,,1,,0,0,0,,0,,0,,0,,,,1,,,,,,,95431M60Q00,S,S,,0,,0,0,,0,2080.0,9999-12-31,,9999
1_2026:07:01 19:09:13 461,ZOES,95747M60Q00,"VALVE,NOT RETURN",NO,LOC COMP,,,"VALVE,NOT RETURN",,1,,1,,0,0,0,,0,,0,,0,,,,1,,,,,,,95747M60Q00,S,S,,0,,0,0,,0,2080.0,9999-12-31,,9999
1_2026:07:01 19:11:12 857,ZOES,95330M60Q00,"TANK ASSY,ACCUMULATOR",NO,LOC COMP,,,"TANK ASSY,ACCUMULATOR",,1,,1,,0,0,0,,0,,0,,0,,,,1,,,,,,,95330M60Q00,S,S,,0,,0,0,,0,2080.0,9999-12-31,,9999
1_2026:07:02 13:23:14 220,ZOES,990J0M69RTE-550,WAGONR LE VZZ+ MT,EA,LOC COMP,,G,WAGONR LE VZZ+ MT,CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,1,,,,0001,A,,,E,,O,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
1_2026:07:02 13:25:18 005,ZOES,990J0M69RTE-570,WAGONR LE L MT,EA,LOC COMP,,G,WAGONR LE L MT,CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,1,,,,0001,A,,,E,,O,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
1_2026:07:02 13:29:19 032,ZOES,990J0M53TTE-260,ALTO K10 LE LXI,EA,LOC COMP,,G,ALTO K10 LE LXI,CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,1,,,,0001,A,,,E,,O,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
1_2026:07:02 13:33:14 860,ZOES,990J0M53TTE-270,ALTO K10 LE VXI,EA,LOC COMP,,G,ALTO K10 LE VXI,CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,1,,,,0001,A,,,E,,O,1,EA2,1,1,SU2,1,2080.0,9999-12-31,S,9999
20000_2026:07:01 09:39:20 198,ZICM,MA5YZ01D000,"NA358448,WELD HEAD,TUCKER",NO,MC SPARES,NEW,,"NA358448,WELD HEAD,TUCKER",,1,,1,,0,0,0,,0,,0,,0,,,,1,"WELD HEAD, TUCKER, NA358448, APPLICATION M6 STUD G",NA358448,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 10:35:22 989,ZICM,MAGOP000000,"LRW-500C,SENSOR HEAD,GENERAL",NO,MC SPARES,NEW,,"LRW-500C,SENSOR HEAD,GENERAL",,1,,1,,0,0,0,,0,,0,,0,,,,1,"SENSOR HEAD, GENERAL, LRW-500C, SENSOR HEAD LRW-50",LRW-500C,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 10:37:27 196,ZICM,MAAB3016000,"GL-VM52HP,LIGHT CURTAIN,GENERAL",NO,MC SPARES,NEW,,"GL-VM52HP,LIGHT CURTAIN,GENERAL",,1,,1,,0,0,0,,0,,0,,0,,,,1,"LIGHT CURTAIN, GENERAL, GL-VM52HP, LIGHT CURTAIN H",GL-VM52HP,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 10:49:20 698,ZOES,3E130-63V00-XT,CONTROLLER ASSY CVT,NO,LOC COMP,,,CONTROLLER ASSY CVT,,1,,1,,0,0,0,,0,,0,,0,,,,1,,,,,,,3E130-63V00-XT,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 12:33:20 430,ZICM,MA7143OQ000,"TYZ255-24HK WORK CASTER,MACHINE SPARES,T",NO,MC SPARES,NEW,,"TYZ255-24HK WORK CASTER,MACHINE SPARES,T",,1,,1,,0,0,0,,0,,0,,0,,,,1,"MACHINE SPARES, TRUSCO, TYZ255-24HK WORK CASTER, M",TYZ255-24HK WORK CASTER,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 13:35:19 641,ZICM,MA42R00C000,"LNHRN8-40-8-100P,BALL NUT,MISUMI",NO,MC SPARES,NEW,,"LNHRN8-40-8-100P,BALL NUT,MISUMI",,1,,1,,0,0,0,,0,,0,,0,,,,1,"BALL NUT, MISUMI, LNHRN8-40-8-100P, THREAD SIZE M8",LNHRN8-40-8-100P,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 14:09:18 622,ZICM,MA42C00A000,"MVB-K-1510 F-FL,VIDEOSCOPES,MAARG TECHNO",NO,MC SPARES,NEW,,"MVB-K-1510 F-FL,VIDEOSCOPES,MAARG TECHNO",,1,,1,,0,0,0,,0,,0,,0,,,,1,"VIDEOSCOPES, MAARG TECHNOLOGIES, MVB-K-1510 F-FL,",MVB-K-1510 F-FL,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 14:11:15 676,ZICN,MAFQK009000,"ADC12-MACHINING-CHIPS,MISCELLANEOUS ITEM",KG,IN CON NV,NEW,,"ADC12-MACHINING-CHIPS,MISCELLANEOUS ITEM",,1,,1,,0,0,0,,0,,0,,0,,,,1,"MISCELLANEOUS ITEMS, MSIL, ADC12-MACHINING-CHIPS,",ADC12-MACHINING-CHIPS,,,,3117.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 15:31:19 675,ZICM,MAAYY002000,"A05B-1124-K001,CONNECTOR SET,FANUC",NO,MC SPARES,NEW,,"A05B-1124-K001,CONNECTOR SET,FANUC",,1,,1,,0,0,0,,0,,0,,0,,,,1,"CONNECTOR SET, FANUC, A05B-1124-K001, 20 PIN CONNE",A05B-1124-K001,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 15:33:14 922,ZICM,MABQD00M000,"LRX-12-E/A3,DRIVE UNIT,YASKAWA",NO,MC SPARES,NEW,,"LRX-12-E/A3,DRIVE UNIT,YASKAWA",,1,,1,,0,0,0,,0,,0,,0,,,,1,"DRIVE UNIT, YASKAWA, LRX-12-E/A3, LINE DRIVER UNIT",LRX-12-E/A3,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 16:09:19 323,ZOES,64220M80T01-008,"LID COMP,FUEL INLET",NO,ED SPARES,,,"LID COMP,FUEL INLET",,1,,1,,0,0,0,,0,,0,,0,,,,1,,,,,,,64220M80T01-008,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 16:25:18 495,ZICN,MAFPU02V000,"MODULES AND ACCESSORIES,MISCELLANEOUS IT",ST,IN CON NV,NEW,,"MODULES AND ACCESSORIES,MISCELLANEOUS IT",,1,,1,,0,0,0,,0,,0,,0,,,,1,"MISCELLANEOUS ITEMS, SIEMENS, MODULES AND ACCESSOR",MODULES AND ACCESSORIES,,,,3110.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 16:27:13 283,ZOES,3B105M58QA1-CVF,"CONTROLLER ASSY,BODY ELEC (CHROME)",EA,LOC COMP,,G,"CONTROLLER ASSY,BODY ELEC (CHROME)",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,43,,,,0001,S,,,,,B,1,EA2,1,1,SU2,1,,9999-12-31,S,9999
20000_2026:07:01 16:57:19 073,ZICM,MA2LW03I000,"MJ 22 020 002,ROD",NO,MC SPARES,NEW,,"MJ 22 020 002,ROD",,1,,1,,0,0,0,,0,,0,,0,,,,1,"ROD, MJ 22 020 002, PART NAME PART PRESENT ROD, OD",MJ 22 020 002,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 17:11:16 069,ZICM,MA98T001000,"DISTORSION FIXTURE BEV R CASE,DISTORTION",NO,MC SPARES,NEW,,"DISTORSION FIXTURE BEV R CASE,DISTORTION",,1,,1,,0,0,0,,0,,0,,0,,,,1,"DISTORTION FIXTURE, AS PER DRAWING, DISTORSION FIX",DISTORSION FIXTURE BEV R CASE,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 17:25:14 162,ZICM,MA1E709Y000,"9NK-455-7B00,STOPPER",NO,MC SPARES,NEW,,"9NK-455-7B00,STOPPER",,1,,1,,0,0,0,,0,,0,,0,,,,1,"STOPPER, 9NK-455-7B00, LENGTH 39 MM, WIDTH 25 MM",9NK-455-7B00,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 17:31:15 216,ZICM,MAE3W001000,"B1028A30046.02,LIFTING ARM PIN 1",NO,MC SPARES,NEW,,"B1028A30046.02,LIFTING ARM PIN 1",,1,,1,,0,0,0,,0,,0,,0,,,,1,"LIFTING ARM PIN 1, B1028A30046.02, PART NAME SHAFT",B1028A30046.02,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 17:53:18 573,ZICM,MA6WM004000,"GIC SM175-MA21DN,PHASE MONITORING RELAY,",NO,MC SPARES,NEW,,"GIC SM175-MA21DN,PHASE MONITORING RELAY,",,1,,1,,0,0,0,,0,,0,,0,,,,1,"PHASE MONITORING RELAY, ADVANCE, GIC SM175-MA21DN,",GIC SM175-MA21DN,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 17:55:17 437,ZICM,MA8FF0G5001,"1/4""DISCHARGE 1/4"",VALVE,ADVANCE",NO,MC SPARES,NEW,,"1/4""DISCHARGE 1/4"",VALVE,ADVANCE",,1,,1,,0,0,0,,0,,0,,0,,,,1,"VALVE, ADVANCE, 1/4""DISCHARGE 1/4"", APPLICABLE FOR","1/4""DISCHARGE 1/4""",,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 17:57:17 667,ZICM,MA8FF0EC009,"DRAIN VALVES,VALVE,OTHER",NO,MC SPARES,NEW,,"DRAIN VALVES,VALVE,OTHER",,1,,1,,0,0,0,,0,,0,,0,,,,1,"VALVE, OTHER, DRAIN VALVES, 	MATERIAL 0-STANDARD",DRAIN VALVES,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 17:59:13 486,ZICM,MACVE002000,"J5C-20,EVAPORATOR COIL,ADVANCE",NO,MC SPARES,NEW,,"J5C-20,EVAPORATOR COIL,ADVANCE",,1,,1,,0,0,0,,0,,0,,0,,,,1,"EVAPORATOR COIL, ADVANCE, J5C-20, APPLICABLE FOR A",J5C-20,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 18:01:13 134,ZICM,MA1V80M5000,"SB-PP02858-409,PCB,DAIKIN",NO,MC SPARES,NEW,,"SB-PP02858-409,PCB,DAIKIN",,1,,1,,0,0,0,,0,,0,,0,,,,1,"PCB, DAIKIN, SB-PP02858-409, RATED VOLTAGE 5 VOLT,",SB-PP02858-409,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 18:05:13 293,ZICM,MA9RP005000,"B1028A30047.04,WORK ROTATION SHAFT",NO,MC SPARES,NEW,,"B1028A30047.04,WORK ROTATION SHAFT",,1,,1,,0,0,0,,0,,0,,0,,,,1,"WORK ROTATION SHAFT, B1028A30047.04, PART NAME SHA",B1028A30047.04,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 18:31:18 178,ZICM,MA22G097000,"9NK-455-9T80,CLAMP PAD",NO,MC SPARES,NEW,,"9NK-455-9T80,CLAMP PAD",,1,,1,,0,0,0,,0,,0,,0,,,,1,"CLAMP PAD, 9NK-455-9T80, LENGTH 19 MM, WIDTH 12 MM",9NK-455-9T80,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 18:33:13 876,ZICM,MA1DY0XX000,"JIG-DCB250-300,PAD",NO,MC SPARES,NEW,,"JIG-DCB250-300,PAD",,1,,1,,0,0,0,,0,,0,,0,,,,1,"PAD, JIG-DCB250-300, PART NAME PU PAD STOPER, LENG",JIG-DCB250-300,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 18:35:14 176,ZICN,MAFNT05Z000,"IPEH-004022,EMBEDDED SYSTEM",NO,IN CON NV,NEW,,"IPEH-004022,EMBEDDED SYSTEM",,1,,1,,0,0,0,,0,,0,,0,,,,1,"COMPONENTS FOR RESEARCH AND DEVELOPMENT, EMBEDDED",IPEH-004022,,,,3110.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 19:03:20 700,ZOES,95544M60Q20,"SENSOR,REFRIGERANT TEMP",NO,LOC COMP,,,"SENSOR,REFRIGERANT TEMP",,1,,1,,0,0,0,,0,,0,,0,,,,1,,,,,,,95544M60Q20,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 19:07:12 999,ZOES,95431M60Q00,"VALVE,EXPANSION(A/C)",NO,LOC COMP,,,"VALVE,EXPANSION(A/C)",,1,,1,,0,0,0,,0,,0,,0,,,,1,,,,,,,95431M60Q00,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 19:09:13 459,ZOES,95747M60Q00,"VALVE,NOT RETURN",NO,LOC COMP,,,"VALVE,NOT RETURN",,1,,1,,0,0,0,,0,,0,,0,,,,1,,,,,,,95747M60Q00,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:01 19:11:12 856,ZOES,95330M60Q00,"TANK ASSY,ACCUMULATOR",NO,LOC COMP,,,"TANK ASSY,ACCUMULATOR",,1,,1,,0,0,0,,0,,0,,0,,,,1,,,,,,,95330M60Q00,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:02 10:01:24 305,ZICM,MA7143PB000,"AIR CAP HN 400,MACHINE SPARES,ASAHI SUNA",NO,MC SPARES,NEW,,"AIR CAP HN 400,MACHINE SPARES,ASAHI SUNA",,1,,1,,0,0,0,,0,,0,,0,,,,1,"MACHINE SPARES, ASAHI SUNAC, AIR CAP HN 400, MODEL",AIR CAP HN 400,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:02 13:23:14 192,ZOES,990J0M69RTE-550,WAGONR LE VZZ+ MT,EA,LOC COMP,,G,WAGONR LE VZZ+ MT,CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,1,,,,0001,A,,,E,,O,1,EA2,1,1,SU2,1,2020.0,9999-12-31,S,9999
20000_2026:07:02 13:25:17 989,ZOES,990J0M69RTE-570,WAGONR LE L MT,EA,LOC COMP,,G,WAGONR LE L MT,CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,1,,,,0001,A,,,E,,O,1,EA2,1,1,SU2,1,2020.0,9999-12-31,S,9999
20000_2026:07:02 13:29:19 015,ZOES,990J0M53TTE-260,ALTO K10 LE LXI,EA,LOC COMP,,G,ALTO K10 LE LXI,CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,1,,,,0001,A,,,E,,O,1,EA2,1,1,SU2,1,2020.0,9999-12-31,S,9999
20000_2026:07:02 13:33:14 834,ZOES,990J0M53TTE-270,ALTO K10 LE VXI,EA,LOC COMP,,G,ALTO K10 LE VXI,CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,1,,,,0001,A,,,E,,O,1,EA2,1,1,SU2,1,2020.0,9999-12-31,S,9999
20000_2026:07:02 14:15:20 275,ZICM,MA8NM004000,"2511038,SEALING CHAMBER",NO,MC SPARES,NEW,,"2511038,SEALING CHAMBER",,1,,1,,0,0,0,,0,,0,,0,,,,1,"SEALING CHAMBER, 2511038, ""OUTER DIA 210 MM, ""INNE",2511038,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:02 14:19:13 487,ZICM,MA8NM006000,"2511038-1,SEALING CHAMBER",NO,MC SPARES,NEW,,"2511038-1,SEALING CHAMBER",,1,,1,,0,0,0,,0,,0,,0,,,,1,"SEALING CHAMBER, 2511038-1, ""OUTER  DIA"" 210 MM, ,",2511038-1,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:02 14:25:13 576,ZICN,MAGOS000000,"STORAGE TROLLEY,CUSTOMIZED",ST,IN CON NV,NEW,,"STORAGE TROLLEY,CUSTOMIZED",,1,,1,,0,0,0,,0,,0,,0,,,,1,"STORAGE TROLLEY, CUSTOMIZED, MILD STEEL CUSTOMIZED",,,,,3117.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:02 14:39:18 142,ZICM,MAFAY00A000,"ANNEXURE-1,PANEL",NO,MC SPARES,NEW,,"ANNEXURE-1,PANEL",,1,,1,,0,0,0,,0,,0,,0,,,,1,"PANEL, ANNEXURE-1, TYPE MAIN ELECTRIC PANEL NO",ANNEXURE-1,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:02 14:45:20 313,ZICM,MA7R500X000,"952130000,COUNTER,SPERONI",NO,MC SPARES,NEW,,"952130000,COUNTER,SPERONI",,1,,1,,0,0,0,,0,,0,,0,,,,1,"COUNTER, SPERONI, 952130000, SPEC SCALE COUNTER CA",952130000,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:02 14:47:13 255,ZICM,MA6Q20BO000,"960181500-00,CABLE,SPERONI",NO,MC SPARES,NEW,,"960181500-00,CABLE,SPERONI",,1,,1,,0,0,0,,0,,0,,0,,,,1,"CABLE, SPERONI, 960181500-00, SPEC CONNECTOR CABLE",960181500-00,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:02 15:15:20 255,ZICM,IA9EL00M000,"CFT PART FEEDER DEVICE (210527),VIBRATOR",ST,MC SPARES,NEW,,"CFT PART FEEDER DEVICE (210527),VIBRATOR",,1,,1,,0,0,0,,0,,0,,0,,,,1,"VIBRATOR, NTN CORPORATION, CFT PART FEEDER DEVICE",CFT PART FEEDER DEVICE (210527),,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:02 15:53:18 429,ZICN,MAGOV000000,"TEMPORARY FUEL FILLING DEVICE,CUSTOMIZED",ST,IN CON NV,NEW,,"TEMPORARY FUEL FILLING DEVICE,CUSTOMIZED",,1,,1,,0,0,0,,0,,0,,0,,,,1,"TEMPORARY FUEL FILLING DEVICE, CUSTOMIZED, OTHERS",,,,,3111.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:02 16:25:19 270,ZICM,MAGOH000000,"608426-9151-000,JOYSTICK,CARL ZEISS",NO,MC SPARES,NEW,,"608426-9151-000,JOYSTICK,CARL ZEISS",,1,,1,,0,0,0,,0,,0,,0,,,,1,"JOYSTICK, CARL ZEISS, 608426-9151-000, USED IN ZEI",608426-9151-000,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:02 16:29:13 341,ZICM,MA59N00C000,"S-10-P-M50- C-V,BLADDER,EPE",NO,MC SPARES,NEW,,"S-10-P-M50- C-V,BLADDER,EPE",,1,,1,,0,0,0,,0,,0,,0,,,,1,"BLADDER, EPE, S-10-P-M50- C-V, CAPACITY 10 LT, GAS",S-10-P-M50- C-V,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:02 17:25:19 644,ZICM,MA8ZE00K000,"94-02-507 EAHT-076-03,PULSE CODER,SNK",NO,MC SPARES,NEW,,"94-02-507 EAHT-076-03,PULSE CODER,SNK",,1,,1,,0,0,0,,0,,0,,0,,,,3,"PULSE CODER, SNK, 94-02-507 EAHT-076-03, MPG PULSE",94-02-507 EAHT-076-03,,,,3000.0,,S,S,,0,,0,0,,0,2040.0,9999-12-31,,9999
20000_2026:07:02 17:27:14 214,ZICM,MAAVI005000,"ADC-217-17K+S100 FOR 99- 50-501 Z07537A,",NO,MC SPARES,NEW,,"ADC-217-17K+S100 FOR 99- 50-501 Z07537A,",,1,,1,,0,0,0,,0,,0,,0,,,,1,"PANEL COOLER FAN, SNK, ADC-217-17K+S100 FOR 99- 50",ADC-217-17K+S100 FOR 99- 50-501 Z07537A,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
20000_2026:07:02 17:31:19 235,ZICM,MAFMC004000,"GFT,GREASE NIPPLE,GROZ",ST,MC SPARES,NEW,,"GFT,GREASE NIPPLE,GROZ",,1,,1,,0,0,0,,0,,0,,0,,,,1,"GREASE NIPPLE, GROZ, GFT, GFT/6/1 TYPE  STRAIGHT H",GFT,,,,3000.0,,S,S,,0,,0,0,,0,2020.0,9999-12-31,,9999
