Legacy_Serial_number,Material_Type,Material,Material_Description,Legacy_Field_Value,Material_Group,Old_material_number,Unit_of_Weight,Material_Description_1,Volume_Unit,Denominator,Display_Unit_Measure,Numerator,Base_Unit_of_Measure,Denominator_1,Numerator_1,Denominator_2,Display_Unit_Measure_1,Numerator_2,Base_Unit_of_Measure_1,Denominator_3,Display_Unit_Measure_2,Numerator_3,Base_Unit_of_Measure_2,DOMESTIC_FLAG,NO_STOCK_CHECK_IND,Legacy_Company_Code,POTXT,Manufacturer_Part_No_,Valid_From,Loading_Group,Material_Group_3,Valuation_Class,ZZ1_MM_RP_PLT,Process_Flag,Storage_Location_Extend,Material_Group_4,Denominator_4,Display_Unit_Measure_3,Numerator_4,Denominator_5,Display_Unit_Measure_4,Numerator_5,Item_Plan_Type,Effective_Till_Date,Plant_type_Legacy,HSN
20048_2026:07:01 09:39:20 229,ZICM,MAF5900Q000,"KHH-A,HEATER,OGPE",NO,MC SPARES,NEW,,"KHH-A,HEATER,OGPE",,1,,1,,0,0,0,,0,,0,,0,,,,47,"HEATER, OGPE, KHH-A, POWER 15 KW, DETAIL VAPOURISE",KHH-A,,,,3000.0,,S,S,,0,,0,0,,0,2050.0,9999-12-31,,9999
20048_2026:07:01 13:35:19 666,ZICM,MA6W4075000,"SWG12-15,COIL SPRING,MISUMI",NO,MC SPARES,NEW,,"SWG12-15,COIL SPRING,MISUMI",,1,,1,,0,0,0,,0,,0,,0,,,,47,"COIL SPRING, MISUMI, SWG12-15, OUTER DIAMETER 12 M",SWG12-15,,,,3000.0,,S,S,,0,,0,0,,0,2050.0,9999-12-31,,9999
20048_2026:07:01 15:31:19 702,ZICM,MABH0001000,"AIRMIX REGULATOR,REGULATOR,SAMES",NO,MC SPARES,NEW,,"AIRMIX REGULATOR,REGULATOR,SAMES",,1,,1,,0,0,0,,0,,0,,0,,,,47,"REGULATOR, SAMES, AIRMIX REGULATOR, REGULATOR AIRM",AIRMIX REGULATOR,,,,3000.0,,S,S,,0,,0,0,,0,2050.0,9999-12-31,,9999
20048_2026:07:01 15:33:14 948,ZICM,MABXB006000,"NCV-20NGNVP-EX1,CONVERTER,NDV",NO,MC SPARES,NEW,,"NCV-20NGNVP-EX1,CONVERTER,NDV",,1,,1,,0,0,0,,0,,0,,0,,,,47,"CONVERTER, NDV, NCV-20NGNVP-EX1, CONVERTOR NCV-20N",NCV-20NGNVP-EX1,,,,3000.0,,S,S,,0,,0,0,,0,2050.0,9999-12-31,,9999
20048_2026:07:01 16:27:13 309,ZOES,33850M66T10,"CABLE, BATTERY",EA,LOC COMP,,G,"CABLE, BATTERY",CCM,1,EA,1,EA,1,1,1,EA1,1,EA,1,SU1,1,EA,,,1,,,,0001,S,,,E,,B,1,EA2,1,1,SU2,1,2020.0,9999-12-31,S,9999
20048_2026:07:01 17:25:14 202,ZICM,MA8G0009000,"MJ 33 120 001,WORK TRAY",NO,MC SPARES,NEW,,"MJ 33 120 001,WORK TRAY",,1,,1,,0,0,0,,0,,0,,0,,,,47,"WORK TRAY, MJ 33 120 001, PART NAME BEARING CAP TR",MJ 33 120 001,,,,3000.0,,S,S,,0,,0,0,,0,2050.0,9999-12-31,,9999
20048_2026:07:01 17:57:17 696,ZICM,MADMD049001,"PRESSURE GAUGE (OWS UNIT),PRESSURE GAUGE",NO,MC SPARES,NEW,,"PRESSURE GAUGE (OWS UNIT),PRESSURE GAUGE",,1,,1,,0,0,0,,0,,0,,0,,,,47,"PRESSURE GAUGE, COMFONOMICS DESIGN VENTURES LLP, P",PRESSURE GAUGE (OWS UNIT),,,,3000.0,,S,S,,0,,0,0,,0,2050.0,9999-12-31,,9999
20048_2026:07:01 18:01:13 161,ZICM,MAB7H01E000,"BSA804SD-FA3BUA-R134A,COMPRESSOR,ADVANCE",NO,MC SPARES,NEW,,"BSA804SD-FA3BUA-R134A,COMPRESSOR,ADVANCE",,1,,1,,0,0,0,,0,,0,,0,,,,47,"COMPRESSOR, ADVANCE, BSA804SD-FA3BUA-R134A, APPLIC",BSA804SD-FA3BUA-R134A,,,,3000.0,,S,S,,0,,0,0,,0,2050.0,9999-12-31,,9999
20048_2026:07:01 18:05:13 324,ZICM,MAE3W002000,"B1028A30054,LIFTING ARM PIN 1",NO,MC SPARES,NEW,,"B1028A30054,LIFTING ARM PIN 1",,1,,1,,0,0,0,,0,,0,,0,,,,47,"LIFTING ARM PIN 1, B1028A30054, PART NAME SHAFT LO",B1028A30054,,,,3000.0,,S,S,,0,,0,0,,0,2050.0,9999-12-31,,9999
20048_2026:07:01 18:31:18 206,ZICM,MA1DY0XW000,"FHF23000369/31,PAD",NO,MC SPARES,NEW,,"FHF23000369/31,PAD",,1,,1,,0,0,0,,0,,0,,0,,,,47,"PAD, FHF23000369/31, PART NAME PAD (THRUST), LENGT",FHF23000369/31,,,,3000.0,,S,S,,0,,0,0,,0,2050.0,9999-12-31,,9999
20048_2026:07:01 18:33:13 925,ZICM,MA7SW001000,"PB-GA006004-C,CRASH PROTECTION PIN",NO,MC SPARES,NEW,,"PB-GA006004-C,CRASH PROTECTION PIN",,1,,1,,0,0,0,,0,,0,,0,,,,2,"CRASH PROTECTION PIN, PB-GA006004-C, OD 4H7 MM, LE",PB-GA006004-C,,,,3000.0,,S,S,,0,,0,0,,0,2030.0,9999-12-31,,9999
20048_2026:07:02 14:45:20 341,ZICM,MAAAX04L000,"919550550,BELT,SPERONI",NO,MC SPARES,NEW,,"919550550,BELT,SPERONI",,1,,1,,0,0,0,,0,,0,,0,,,,47,"BELT, SPERONI, 919550550, SPEC "" TRANSMISSION BELT",919550550,,,,3000.0,,S,S,,0,,0,0,,0,2050.0,9999-12-31,,9999
